time,WaveElev,HydroFx,HydroFy,HydroFz,HydroMx,HydroMy,HydroMz
0.03,1.83,-662255.9385189521,0.0,-13118462.846182412,-6.146728992462158e-08,-45669366.12328332,-4.190951585769653e-08
0.060000000000000005,1.8290402915511532,-923017.8260347296,-1.1338077082097694e-13,-13075661.026272248,-6.891787052154541e-08,-37250129.174781196,-4.0512531995773315e-08
0.09,1.8290402915511532,-923017.8260347296,-1.1338077082097694e-13,-13075661.026272248,-6.891787052154541e-08,-37250129.174781196,-4.0512531995773315e-08
0.11999999999999998,1.8261621728060402,-1182337.532882921,-2.2808648129366395e-13,-13016412.012225986,-5.960464477539063e-08,-28792737.471433386,-3.026798367500305e-08
0.15,1.8261621728060402,-1182337.532882921,-2.2808648129366395e-13,-13016412.012225986,-5.960464477539063e-08,-28792737.471433386,-3.026798367500305e-08
0.18000000000000002,1.8213686625131607,-1439857.596057602,-3.29735749940646e-13,-12940812.857890978,-7.916241884231567e-08,-20309719.70542366,-4.6100467443466187e-08
0.21000000000000005,1.8146647884018339,-1695222.2283556757,-4.2927611949021083e-13,-12848989.184143659,-6.239861249923706e-08,-11813462.020292334,-3.725290298461914e-08
0.24000000000000007,1.8146647884018339,-1695222.2283556757,-4.2927611949021083e-13,-12848989.184143659,-6.239861249923706e-08,-11813462.020292334,-3.725290298461914e-08
0.2700000000000001,1.8060575819088087,-1948088.2474524467,-5.224566280549912e-13,-12741090.209328188,-6.51925802230835e-08,-3316360.087250626,-3.166496753692627e-08
0.3000000000000001,1.8060575819088087,-1948088.2474524467,-5.224566280549912e-13,-12741090.209328188,-6.51925802230835e-08,-3316360.087250626,-3.166496753692627e-08
0.3300000000000001,1.7955560708032563,-2198125.0453609414,-6.154983283191941e-13,-12617287.979723986,-4.7497451305389404e-08,5169150.19094713,-2.3748725652694702e-08
0.36000000000000015,1.7831712697178919,-2445007.498958489,-6.974321962287235e-13,-12477780.77431915,-5.587935447692871e-08,13630716.310265565,-1.7695128917694092e-08
0.3900000000000002,1.7831712697178919,-2445007.498958489,-6.974321962287235e-13,-12477780.77431915,-5.587935447692871e-08,13630716.310265565,-1.7695128917694092e-08
0.4200000000000002,1.768916168596145,-2688411.579615473,-7.743611105218941e-13,-12322796.131964307,-9.266659617424011e-08,22056214.470930293,-4.0978193283081055e-08
0.45000000000000023,1.768916168596145,-2688411.579615473,-7.743611105218941e-13,-12322796.131964307,-9.266659617424011e-08,22056214.470930293,-4.0978193283081055e-08
0.48000000000000026,1.7528057190675093,-2928017.1583416183,-8.492108256915741e-13,-12152590.230995279,-7.078051567077637e-08,30433792.034897022,-3.5390257835388184e-08
0.5100000000000002,1.734856818765347,-3163513.9931137515,3.1344215848090375e-06,-11967443.952806823,1.324014738202095e-05,38751759.58390294,1.259148120880127e-05
0.5400000000000003,1.734856818765347,-3163513.9931137515,3.1344215848090375e-06,-11967443.952806823,1.324014738202095e-05,38751759.58390294,1.259148120880127e-05
0.5700000000000003,1.7150882936036125,-3394605.524104988,7.630884565887734e-06,-11767662.938213408,3.5927630960941315e-05,46998644.766056165,3.3427029848098755e-05
0.6000000000000003,1.7150882936036125,-3394605.524104988,7.630884565887734e-06,-11767662.938213408,3.5927630960941315e-05,46998644.766056165,3.3427029848098755e-05
0.6300000000000003,1.6935208780310693,-3621007.5979889045,1.2158853567944554e-05,-11553577.461028252,6.2569510191679e-05,55163181.350883715,5.7270750403404236e-05
0.6600000000000004,1.6701771932837224,-3842445.470488634,1.6727335200042223e-05,-11325543.686333686,9.264051914215088e-05,63234349.73077663,8.374080061912537e-05
0.6900000000000004,1.6701771932837224,-3842445.470488634,1.6727335200042223e-05,-11325543.686333686,9.264051914215088e-05,63234349.73077663,8.374080061912537e-05
0.7200000000000004,1.6450817236582709,-4058653.190558383,2.134311188158476e-05,-11083944.292812996,0.00012568244710564613,71201447.61358505,0.00011238269507884979
0.7500000000000004,1.6450817236582709,-4058653.190558383,2.134311188158476e-05,-11083944.292812996,0.00012568244710564613,71201447.61358505,0.00011238269507884979
0.7800000000000005,1.6182607908314657,-4269375.63153507,2.6011656150408342e-05,-10829186.784083262,0.00016119610518217087,79054087.83507307,0.00014273077249526978
0.8100000000000005,1.5897425262523117,-4474370.889265886,3.073709954413883e-05,-10561701.274850167,0.00019869115203619003,86782169.42628519,0.00017443019896745682
0.8400000000000005,1.5897425262523117,-4474370.889265886,3.073709954413883e-05,-10561701.274850167,0.00019869115203619003,86782169.42628519,0.00017443019896745682
0.8700000000000006,1.5595568416360701,-4673410.890846201,3.552201934099702e-05,-10281939.217159923,0.00023773964494466782,94375870.30259606,0.00020706932991743088
0.9000000000000006,1.5595568416360701,-4673410.890846201,3.552201934099702e-05,-10281939.217159923,0.00023773964494466782,94375870.30259606,0.00020706932991743088
0.9300000000000006,1.5277353975910029,-4571884.991546036,4.376947478792412e-05,-10329393.829111027,0.00027713552117347717,111703891.97491826,0.0003397064283490181
0.9600000000000006,1.4943115704107766,-5620848.536357951,5.238068868885054e-05,-10341991.332558986,0.00028222985565662384,114492829.46682017,0.0003070058301091194
0.9900000000000007,1.4943115704107766,-5620848.536357951,5.238068868885054e-05,-10341991.332558986,0.00028222985565662384,114492829.46682017,0.0003070058301091194
1.0200000000000007,1.4593204170673446,-5820215.033413972,5.813302818544719e-05,-10005708.911718676,0.000321750296279788,122229007.27782495,0.00034610554575920105
1.0500000000000007,1.4593204170673446,-5820215.033413972,5.813302818544719e-05,-10005708.911718676,0.000321750296279788,122229007.27782495,0.00034610554575920105
1.0800000000000007,1.4227986384410334,-6012016.9204345085,6.39519689652222e-05,-9658207.056608424,0.00036125374026596546,129785281.64262457,0.0003850208595395088
1.1100000000000008,1.3847845408263946,-6196066.54530406,6.983190824300782e-05,-9300083.044141527,0.00040034507401287556,137152934.8952098,0.0004233596846461296
1.1400000000000008,1.3847845408263946,-6196066.54530406,6.983190824300782e-05,-9300083.044141527,0.00040034507401287556,137152934.8952098,0.0004233596846461296
1.1700000000000008,1.3453179957541996,-6372192.444516225,7.576794708182633e-05,-8931948.427663391,0.0004385977517813444,144323650.59414247,0.0004609040915966034
1.2000000000000008,1.3453179957541996,-6372192.444516225,7.576794708182633e-05,-8931948.427663391,0.0004385977517813444,144323650.59414247,0.0004609040915966034
1.2300000000000009,1.3044403981717194,-6540242.917994604,8.175415750535944e-05,-8554425.064661335,0.00047554285265505314,151289428.6465446,0.0004974529147148132
1.260000000000001,1.2621946230251486,-6700084.120669398,8.778331303335389e-05,-8168144.782270512,0.0005108708282932639,158042608.92871746,0.0005326932296156883
1.290000000000001,1.2621946230251486,-6700084.120669398,8.778331303335389e-05,-8168144.782270512,0.0005108708282932639,158042608.92871746,0.0005326932296156883
1.320000000000001,1.2186249802897184,-6851595.9803915555,9.384762228496776e-05,-7773750.226637835,0.000544192036613822,164575958.11460024,0.0005666390061378479
1.350000000000001,1.2186249802897184,-6851595.9803915555,9.384762228496776e-05,-7773750.226637835,0.000544192036613822,164575958.11460024,0.0005666390061378479
1.380000000000001,1.1737771684946596,-6994670.457831534,9.993936826867412e-05,-7371893.941034183,0.0005750713171437383,170882719.55426118,0.0005990145727992058
1.410000000000001,1.1276982267917672,-7129213.114315342,0.00010605128875650547,-6963235.294974254,0.0006032400706317276,176956586.08299452,0.000629764050245285
1.440000000000001,1.1276982267917672,-7129213.114315342,0.00010605128875650547,-6963235.294974254,0.0006032400706317276,176956586.08299452,0.000629764050245285
1.470000000000001,1.0804364856178343,-7255145.386895061,0.00011217644608766261,-6548437.177681418,0.0006282904505496845,182791641.14175755,0.000658801756799221
1.500000000000001,1.0804364856178343,-7255145.386895061,0.00011217644608766261,-6548437.177681418,0.0006282904505496845,182791641.14175755,0.000658801756799221
1.5300000000000011,1.0320415160027103,-7372404.898511095,0.00011830765116417518,-6128164.163463784,0.0006498893199022859,188382331.84198985,0.0006860364228487015
1.5600000000000012,0.9825640775761452,-7480943.7057364145,0.00012443810577833934,-5703082.010189518,0.0006677868659608066,193723487.3261529,0.0007113460451364517
1.5900000000000012,0.9825640775761452,-7480943.7057364145,0.00012443810577833934,-5703082.010189518,0.0006677868659608066,193723487.3261529,0.0007113460451364517
1.6200000000000012,0.9320560653279588,-7580726.3838751465,0.00013056165484379877,-5273857.13571064,0.0006815808010287583,198810345.24389678,0.0007347026839852333
1.6500000000000012,0.9320560653279588,-7580726.3838751465,0.00013056165484379877,-5273857.13571064,0.0006815808010287583,198810345.24389678,0.0007347026839852333
1.6800000000000013,0.8805704551773741,-7671729.4598944755,0.00013667326696096567,-4841155.166455999,0.0006910494994372129,203638549.16429242,0.0007560811936855316
1.7100000000000013,0.8281612484086052,-7753941.939621315,0.0001427691003371687,-4405638.892327078,0.0006959015736356378,208204117.27692142,0.0007754666730761528
1.7400000000000013,0.8281612484086052,-7753941.939621315,0.0001427691003371687,-4405638.892327078,0.0006959015736356378,208204117.27692142,0.0007754666730761528
1.7700000000000014,0.774883415030978,-7827365.627071475,0.00014884643916179355,-3967966.544868417,0.0006958064623177052,212503410.19595292,0.0007926737889647484
1.8000000000000014,0.774883415030978,-7827365.627071475,0.00014884643916179355,-3967966.544868417,0.0006958064623177052,212503410.19595292,0.0007926737889647484
1.8300000000000014,0.7207928361229938,-7892014.441594586,0.00015490402777356866,-3528790.8354190895,0.0006906036287546158,216533118.22521323,0.0008078189566731453
1.8600000000000014,0.6659462452208064,-7947913.09959639,0.00016094210280876464,-3088758.4079285203,0.000679992139339447,220290262.95237538,0.0008207857608795166
1.8900000000000015,0.6659462452208064,-7947913.09959639,0.00016094210280876464,-3088758.4079285203,0.000679992139339447,220290262.95237538,0.0008207857608795166
1.9200000000000015,0.6104011688125905,-7995096.03072318,0.00016696223630388826,-2648509.127382403,0.0006637498736381531,223772194.69027954,0.0008315583691000938
1.9500000000000015,0.6104011688125905,-7995096.03072318,0.00016696223630388826,-2648509.127382403,0.0006637498736381531,223772194.69027954,0.0008315583691000938
1.9800000000000015,0.5542158660012102,-8033606.924832371,0.0001729675977505653,-2208675.0289238547,0.0006416987162083387,226976576.16607165,0.000840052030980587
2.010000000000001,0.4974492673984786,-8063498.572206299,0.00017896256450648302,-1769879.2209570135,0.0006136056035757065,229901358.99524152,0.0008462788537144661
2.0400000000000005,0.4974492673984786,-8063498.572206299,0.00017896256450648302,-1769879.2209570135,0.0006136056035757065,229901358.99524152,0.0008462788537144661
2.07,0.4401609133150979,-8084832.4544894835,0.0001849527311283237,-1332735.088512343,0.0005793296732008457,232544764.88354886,0.0008501280099153519
2.099999999999999,0.4401609133150979,-8084832.4544894835,0.0001849527311283237,-1332735.088512343,0.0005793296732008457,232544764.88354886,0.0008501280099153519
